code,product_name,ground_truth,prediction,potential,true_positive,false_positive,false_negative,ingredients_text,direct_matches,precautionary_matches,sulphite_threshold_evidence
00000049,Mre Lite,egg;milk,egg;fish;milk,,egg;milk,fish,,"Whole Food Protein Blend (Beef Protein Isolate, Pea Protein, Brown Rice Protein, Chicken Protein, Egg Albumin, Salmon Protein), Milk Powder (for texture), Medium Chain Triglyceride (MCT) Oil Powder (Nonfat Dry Milk, Potassium Phosphate), Natural and Artificial Flavors, Cellulose Gum, Sucralose, Acesulfame Potassium, Maltodextrin, Salt, Silicon Dioxide",albumin -> egg;egg -> egg;egg albumin -> egg;milk -> milk;milk powder -> milk;salmon -> fish,,
0000200008423,Thai sweet chilli sensations,soy;wheat_gluten,wheat_gluten,celery;milk;mustard,wheat_gluten,,soy,"Potatoes, Vegetable Oils (Sunflower, Rapeseed, in varying proportions), Thai Sweet Chilli Seasoning [Sugar, Soya Sauce Powder (contains Wheat), Fructose, Flavouring, Hydrolysed Vegetable Protein (contains Soya) Potassium Chloride, Salt, Dried Onion, Dried Red Chilli Flakes, Dried Garlic, Dried Parsley, Dried Tomato, Paprika Powder, Red Bell Pepper Powder Acidity Regulator (Citric Acid), Colour (Paprika Extract)], Firming Agent (Calcium Lactate Antioxidants (Rosemary Extract, Ascorbic Acid, Tocopherol Rich Extract, Citric Acid). Allergy Advice Contains: See highlighted ingredients May Contain: Milk, Gluten, Barley, Celery, Mustard Suitable for Vegetarians",wheat -> wheat_gluten,barley -> wheat_gluten;celery -> celery;gluten -> wheat_gluten;milk -> milk;mustard -> mustard,
0000112301878,pot au feu de légumes aux aromates,milk,celery;milk,egg;wheat_gluten,milk,celery,,"es laisirs % des R.&quot; par NGREDIENTS eau, légumes 27 % (carotte, navet, poireau, pomme de terre, chou vert, céleri, oignon), viande de boeuf cuite 2,2 %, amidon transformé de pomme de terre, sel, arômes (contient : lait, céleri, huile de colza, girofle en poudre, exhausteur de goût: glutamate de sodium, extraits naturels de thym, de laurier et de poivre. Peut contenir des traces de blé et oeuf 3% 3% 1% 3% 3% | | 7% 31% dulte",celeri -> celery;lait -> milk,ble -> wheat_gluten;oeuf -> egg,
0000192495165,Dessert végétal à l'amande et au chocolat et à la noisette,tree_nut,milk;tree_nut,,tree_nut,milk,,"Lait d'amande* à la noisette* 79% (eau, amande* 3%, noisette* 3%), sucre de canne blond*, riz rond blanc de Camargue*, chocolat noir supérieur* 4% (pâte de cacao*, sucre de canne blanc*, beurre de cacao*, extrait de vanille*), poudre de cacao*, sel de Guérande, épaississant : farine de graines de caroube*. Peut contenir des traces de fruits à coque et de lait. Souligné : Commerce Équitable contrôlé Fair for Life : 54 % du total des ingrédients agricoles. *100% des ingrédients d'origine agricole sont biologiques.",amande -> tree_nut;beurre -> milk;noisette -> tree_nut,fruits a coque -> tree_nut;lait -> milk,
